Time (s),Vr (km/s),Vn (km/s),V (km/s)
8541906.766917294,-1.5280976720347188,2.2588000494830256,2.7271340558950246
8620998.496240603,-1.5452034887967963,2.271545316573945,2.747284467804311
8700090.22556391,-1.5623964042179077,2.2845799100775297,2.767740574808792
8779181.954887219,-1.5796770081597724,2.2979120767255483,2.788508447623878
8858273.684210528,-1.5970458280012574,2.3115503928842425,2.8095943827498515
8937365.413533835,-1.614503321717927,2.3255037804222414,2.8310049114398153
9016457.142857144,-1.632049870313469,2.3397815234696715,2.8527468090877375
9095548.87218045,-1.6496857695409908,2.3543932861236043,2.8748271050569207
9174640.60150376,-1.6674112208458212,2.3693491311585535,2.8972530929700193
9253732.330827069,-1.6852263214544683,2.3846595398044563,2.92003234148243
9332824.060150376,-1.7031310535265638,2.4003354326585353,2.943172705561558
9411915.789473685,-1.7211252722780124,2.416388191801609,2.9666823382951386
9491007.518796993,-1.7392086929739006,2.432829684193769,2.9905697032522642
9570099.2481203,-1.757380876679083,2.4496722864289895,3.01484358742134
9649190.97744361,-1.7756412146424085,2.4669289109329715,3.0395131147494174
9728282.706766918,-1.7939889111773257,2.4846130336935506,3.0645877603075875
9807374.436090225,-1.8124229648868242,2.5027387236181586,3.090077365107061
9886466.165413534,-1.8309421480642039,2.521320673618152,3.1159921515902846
9965557.894736843,-1.8495449840827607,2.54037423352523,3.1423427398208172
10044649.62406015,-1.868229722566979,2.559915444950711,3.1691401643947352
10123741.35338346,-1.8869943121148907,2.5799610782039246,3.196395892094893
10202833.082706768,-1.9058363703155943,2.6005286713913915,3.224121840307279
10281924.812030075,-1.9247531507773044,2.621636571823776,3.252330396216086
10361016.541353384,-1.9437415068491866,2.643303979862492,3.2810344367905127
10440108.270676693,-1.962797851684307,2.6655509953423437,3.3102473495717946
10519200.0,-1.9819181142507756,2.6883986667103468,3.339983054263198
10598291.729323309,-2.001097690853069,2.7118690430237433,3.3702560251185663
10677383.458646618,-2.0203313916749064,2.735985228951756,3.401081314116035
10756475.187969925,-2.039613381798329,2.7607714429255488,3.432474574892585
10835566.917293234,-2.058937116089999,2.7862530785785893,3.464452087401653
10914658.646616543,-2.0782952672742425,2.8124567696145553,3.4970307832395835
10993750.37593985,-2.097679646432238,2.839410458231372,3.530228271566836
11072842.105263159,-2.117081115076699,2.8671434672169807,3.5640628655257203
11151933.834586468,-2.1364894878503975,2.8956865758138117,3.598553609027323
11231025.563909775,-2.1558934247835118,2.925072099423511,3.6337203037452737
11310117.293233084,-2.175280311917582,2.9553339731892745,3.6695835361118236
11389209.02255639,-2.194636128961275,2.9865078394483917,3.706164704061172
11468300.7518797,-2.2139453024833804,3.0186311389896403,3.743486043204398
11547392.481203008,-2.2331905429695627,3.0517432059759693,3.781570652047794
11626484.210526315,-2.2523526638695164,3.0858853662989008,3.8204425157797894
11705575.939849624,-2.2714103805379007,3.121101039012504,3.860126528048046
11784667.669172933,-2.2903400867238535,3.1574358403464666,3.9006485100247916
11863759.39849624,-2.3091156059876177,3.1949376896128507,3.942035225911136
11942851.12781955,-2.3277079151168363,3.2336569160916593,3.984314393855609
12021942.857142858,-2.3460848362774582,3.2736463656964885,4.027514691053138
12101034.586466165,-2.364210694263607,3.3149615058717172,4.071665751542198
12180126.315789474,-2.3820459348063423,3.357660526742475,4.116798154922339
12259218.045112783,-2.399546699463448,3.401804436011013,4.162943403863441
12338309.77443609,-2.416664352143189,3.4474571444476965,4.210133887861897
12417401.503759399,-2.433344951818637,3.4946855380367907,4.258402830205797
12496493.233082708,-2.4495286654733084,3.5435595318774507,4.3077842145278105
12575584.962406015,-2.465149114795629,3.594152099774035,4.358312686635481
12654676.691729324,-2.4801326496274383,3.646539272036092,4.410023426496681
12733768.421052633,-2.494397540697237,3.700800092298985,4.462951984303282
12812860.15037594,-2.507853083770241,3.7570165221158143,4.51713407341725
12891951.879699249,-2.5203986070778055,3.815273279596048,4.572605311696968
12971043.609022558,-2.531922373821402,3.8756575954044816,4.629400901182987
13050135.338345865,-2.542300371780249,3.938258865906614,4.687555234367489
13129227.067669174,-2.5513949827196116,4.003168179068605,4.7471014132578055
13208318.796992483,-2.5590535255745896,4.070477683805235,4.808070665153765
13287410.52631579,-2.5651066695026294,4.140279767736177,4.87049163648316
13366502.255639099,-2.5693667161559826,4.2126660016927175,4.934389543186461
13445593.984962407,-2.571625755305941,4.287725801778568,4.999785153043129
13524685.714285715,-2.5716537047378782,4.365544751349782,5.066693572057589
13603777.443609023,-2.569196254731653,4.446202516050662,5.13512280369831
13682869.172932332,-2.563972750179401,4.529770275275528,5.20507204661302
13761960.90225564,-2.555674060344221,4.6163075835797684,5.276529693741181
13841052.631578948,-2.5439605084312253,4.705858566396459,5.349470993975441
13920144.360902257,-2.528459961624958,4.798447347105088,5.42385533734818
13999236.090225564,-2.5087662181601567,4.894072598789638,5.499623127051996
14078327.819548873,-2.4844378723247225,4.992701116396435,5.576692207671821
14157419.54887218,-2.4549978916623463,5.094260316862368,5.654953830406154
14236511.27819549,-2.419934202914303,5.198629600629707,5.7342681547846945
14315603.007518798,-2.3787016529742835,5.305630553481223,5.814459314837112
14394694.736842105,-2.330725784808678,5.4150160396328975,5.895310118514002
14473786.466165414,-2.27540893933715,5.526458343082786,5.976556505132763
14552878.195488723,-2.2121392518836327,5.639536661802348,6.057881959029661
14631969.92481203,-2.140303139851084,5.753724454237497,6.1389121695742634
14711061.654135339,-2.05930185445021,5.868377381254429,6.219210337057323
14790153.383458648,-1.9685725653215371,5.9827228726457085,6.298273645675832
14869245.112781955,-1.867614230357778,6.095852656476912,6.375531548264152
14948336.842105264,-1.7560181422978647,6.2067198850869705,6.450346614563689
15027428.571428573,-1.6335025163775232,6.314142715050772,6.52201875932908
15106520.30075188,-1.499949789196376,6.416816269580777,6.589793654407307
15185612.030075189,-1.3554444754439148,6.5133347351664215,6.6528760020262565
15264703.759398498,-1.2003085662862019,6.602224825882073,6.710448070419262
15343795.488721805,-1.0351307011105466,6.681990925189652,6.761693448589523
15422887.218045114,-0.8607849039352445,6.751170890315792,6.805825375447869
15501978.947368423,-0.6784347655685119,6.808399886439031,6.842118293686175
15581070.67669173,-0.4895197490847894,6.852477937693965,6.86994057261972
15660162.406015038,-0.2957218593398041,6.882435475085248,6.888785777392362
